Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Guatemala,Guatemala,El Salvador,El Salvador,2020,20683
Guatemala,Guatemala,México,Mexico,2020,18872
Guatemala,Guatemala,Estados Unidos,United States of America,2020,9299
Guatemala,Guatemala,Nicaragua,Nicaragua,2020,9211
Guatemala,Guatemala,Honduras,Honduras,2020,9023
Guatemala,Guatemala,Otros,Otros,2020,14916
Honduras,Honduras,El Salvador,El Salvador,2020,9071
Honduras,Honduras,Nicaragua,Nicaragua,2020,7943
Honduras,Honduras,Estados Unidos,United States of America,2020,6954
Honduras,Honduras,Guatemala,Guatemala,2020,4711
Honduras,Honduras,México,Mexico,2020,1602
Honduras,Honduras,Otros,Otros,2020,8663
México,Mexico,Estados Unidos,United States of America,2020,799248
México,Mexico,Venezuela,Venezuela,2020,70377
México,Mexico,Guatemala,Guatemala,2020,46318
México,Mexico,Honduras,Honduras,2020,38764
México,Mexico,España,Spain,2020,24731
México,Mexico,Otros,Otros,2020,194973
Nicaragua,Nicaragua,Honduras,Honduras,2020,13110
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2020,11281
Nicaragua,Nicaragua,Estados Unidos,United States of America,2020,3775
Nicaragua,Nicaragua,El Salvador,El Salvador,2020,2557
Nicaragua,Nicaragua,Guatemala,Guatemala,2020,1843
Nicaragua,Nicaragua,Otros,Otros,2020,7596
Panamá,Panama,Venezuela,Venezuela,2020,119553
Panamá,Panama,Colombia,Colombia,2020,50702
Panamá,Panama,China,China,2020,22427
Panamá,Panama,Estados Unidos,United States of America,2020,16867
Panamá,Panama,Nicaragua,Nicaragua,2020,15517
Panamá,Panama,Otros,Otros,2020,87034
Argentina,Argentina,Paraguay,Paraguay,2020,685714
Argentina,Argentina,Bolivia,Bolivia,2020,423136
Argentina,Argentina,Chile,Chile,2020,215198
Argentina,Argentina,Peru,Peru,2020,197226
Argentina,Argentina,Venezuela,Venezuela,2020,176369
Argentina,Argentina,Otros,Otros,2020,539526
Bolivia,Bolivia,Argentina,Argentina,2020,47601
Bolivia,Bolivia,Brasil,Brazil,2020,28612
Bolivia,Bolivia,España,Spain,2020,13568
Bolivia,Bolivia,Peru,Peru,2020,12565
Bolivia,Bolivia,México,Mexico,2020,10606
Bolivia,Bolivia,Otros,Otros,2020,47240
Brasil,Brazil,Venezuela,Venezuela,2020,248105
Brasil,Brazil,Portugal,Portugal,2020,175251
Brasil,Brazil,Japón,Japan,2020,62296
Brasil,Brazil,Paraguay,Paraguay,2020,49842
Brasil,Brazil,Bolivia,Bolivia,2020,49289
