Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Cuba,Cuba,2019,3,Lectura,I,30.3
Cuba,Cuba,2019,3,Lectura,II,20.2
Cuba,Cuba,2019,3,Lectura,III,28.4
Cuba,Cuba,2019,3,Lectura,IV,21.1
Cuba,Cuba,2019,3,Matemáticas,I,25
Cuba,Cuba,2019,3,Matemáticas,II,26.7
Cuba,Cuba,2019,3,Matemáticas,III,32.3
Cuba,Cuba,2019,3,Matemáticas,IV,16
Cuba,Cuba,2019,6,Ciencias,I,17
Cuba,Cuba,2019,6,Ciencias,II,34.4
Cuba,Cuba,2019,6,Ciencias,III,24.2
Cuba,Cuba,2019,6,Ciencias,IV,24.4
Cuba,Cuba,2019,6,Lectura,I,11.9
Cuba,Cuba,2019,6,Lectura,II,43.5
Cuba,Cuba,2019,6,Lectura,III,18.5
Cuba,Cuba,2019,6,Lectura,IV,26
Cuba,Cuba,2019,6,Matemáticas,I,53
Cuba,Cuba,2019,6,Matemáticas,II,26.4
Cuba,Cuba,2019,6,Matemáticas,III,14.4
Cuba,Cuba,2019,6,Matemáticas,IV,6.3
Ecuador,Ecuador,2013,3,Lectura,I,38.1
Ecuador,Ecuador,2013,3,Lectura,II,24.3
Ecuador,Ecuador,2013,3,Lectura,III,27.6
Ecuador,Ecuador,2013,3,Lectura,IV,10
Ecuador,Ecuador,2013,3,Matemáticas,I,47.8
Ecuador,Ecuador,2013,3,Matemáticas,II,26.8
Ecuador,Ecuador,2013,3,Matemáticas,III,20.9
Ecuador,Ecuador,2013,3,Matemáticas,IV,4.5
Ecuador,Ecuador,2013,6,Ciencias,I,38.5
Ecuador,Ecuador,2013,6,Ciencias,II,41.5
Ecuador,Ecuador,2013,6,Ciencias,III,15.8
Ecuador,Ecuador,2013,6,Ciencias,IV,4.2
Ecuador,Ecuador,2013,6,Lectura,I,20.8
Ecuador,Ecuador,2013,6,Lectura,II,55.6
Ecuador,Ecuador,2013,6,Lectura,III,13.4
Ecuador,Ecuador,2013,6,Lectura,IV,10.3
Ecuador,Ecuador,2013,6,Matemáticas,I,44.8
Ecuador,Ecuador,2013,6,Matemáticas,II,41.1
Ecuador,Ecuador,2013,6,Matemáticas,III,11
Ecuador,Ecuador,2013,6,Matemáticas,IV,3.1
Ecuador,Ecuador,2019,3,Lectura,I,41.9
Ecuador,Ecuador,2019,3,Lectura,II,19.6
Ecuador,Ecuador,2019,3,Lectura,III,25.1
Ecuador,Ecuador,2019,3,Lectura,IV,13.4
Ecuador,Ecuador,2019,3,Matemáticas,I,43
Ecuador,Ecuador,2019,3,Matemáticas,II,26
Ecuador,Ecuador,2019,3,Matemáticas,III,22.7
Ecuador,Ecuador,2019,3,Matemáticas,IV,8.3
Ecuador,Ecuador,2019,6,Ciencias,I,30.5
Ecuador,Ecuador,2019,6,Ciencias,II,42.9
Ecuador,Ecuador,2019,6,Ciencias,III,19.3
Ecuador,Ecuador,2019,6,Ciencias,IV,7.3
Ecuador,Ecuador,2019,6,Lectura,I,26
Ecuador,Ecuador,2019,6,Lectura,II,47.9
Ecuador,Ecuador,2019,6,Lectura,III,14.1
Ecuador,Ecuador,2019,6,Lectura,IV,12
Ecuador,Ecuador,2019,6,Matemáticas,I,37.6
Ecuador,Ecuador,2019,6,Matemáticas,II,39.5
Ecuador,Ecuador,2019,6,Matemáticas,III,17.2
Ecuador,Ecuador,2019,6,Matemáticas,IV,5.7
El Salvador,El Salvador,2013,3,Lectura,I,
El Salvador,El Salvador,2013,3,Lectura,II,
El Salvador,El Salvador,2013,3,Lectura,III,
El Salvador,El Salvador,2013,3,Lectura,IV,
El Salvador,El Salvador,2013,3,Matemáticas,I,
El Salvador,El Salvador,2013,3,Matemáticas,II,
El Salvador,El Salvador,2013,3,Matemáticas,III,
El Salvador,El Salvador,2013,3,Matemáticas,IV,
El Salvador,El Salvador,2013,6,Ciencias,I,
El Salvador,El Salvador,2013,6,Ciencias,II,
El Salvador,El Salvador,2013,6,Ciencias,III,
El Salvador,El Salvador,2013,6,Ciencias,IV,
El Salvador,El Salvador,2013,6,Lectura,I,
El Salvador,El Salvador,2013,6,Lectura,II,
El Salvador,El Salvador,2013,6,Lectura,III,
El Salvador,El Salvador,2013,6,Lectura,IV,
El Salvador,El Salvador,2013,6,Matemáticas,I,
El Salvador,El Salvador,2013,6,Matemáticas,II,
El Salvador,El Salvador,2013,6,Matemáticas,III,
El Salvador,El Salvador,2013,6,Matemáticas,IV,
El Salvador,El Salvador,2019,3,Lectura,I,43.6
El Salvador,El Salvador,2019,3,Lectura,II,19.3
El Salvador,El Salvador,2019,3,Lectura,III,23.4
El Salvador,El Salvador,2019,3,Lectura,IV,13.7
El Salvador,El Salvador,2019,3,Matemáticas,I,49.9
El Salvador,El Salvador,2019,3,Matemáticas,II,27.6
El Salvador,El Salvador,2019,3,Matemáticas,III,19.3
El Salvador,El Salvador,2019,3,Matemáticas,IV,3.2
El Salvador,El Salvador,2019,6,Ciencias,I,34.2
El Salvador,El Salvador,2019,6,Ciencias,II,47.2
El Salvador,El Salvador,2019,6,Ciencias,III,14.6
El Salvador,El Salvador,2019,6,Ciencias,IV,4
El Salvador,El Salvador,2019,6,Lectura,I,19.6
El Salvador,El Salvador,2019,6,Lectura,II,51.1
El Salvador,El Salvador,2019,6,Lectura,III,15.5
El Salvador,El Salvador,2019,6,Lectura,IV,13.9
El Salvador,El Salvador,2019,6,Matemáticas,I,57.8
El Salvador,El Salvador,2019,6,Matemáticas,II,34.7
El Salvador,El Salvador,2019,6,Matemáticas,III,6.6
El Salvador,El Salvador,2019,6,Matemáticas,IV,1
Guatemala,Guatemala,2013,3,Lectura,I,46.1
Guatemala,Guatemala,2013,3,Lectura,II,23.7
Guatemala,Guatemala,2013,3,Lectura,III,22.9
Guatemala,Guatemala,2013,3,Lectura,IV,7.3
Guatemala,Guatemala,2013,3,Matemáticas,I,60.2
Guatemala,Guatemala,2013,3,Matemáticas,II,22
Guatemala,Guatemala,2013,3,Matemáticas,III,14.2
Guatemala,Guatemala,2013,3,Matemáticas,IV,3.7
Guatemala,Guatemala,2013,6,Ciencias,I,44.5
Guatemala,Guatemala,2013,6,Ciencias,II,40.8
Guatemala,Guatemala,2013,6,Ciencias,III,11.5
Guatemala,Guatemala,2013,6,Ciencias,IV,3.2
Guatemala,Guatemala,2013,6,Lectura,I,20.5
Guatemala,Guatemala,2013,6,Lectura,II,60.1
Guatemala,Guatemala,2013,6,Lectura,III,12.2
Guatemala,Guatemala,2013,6,Lectura,IV,7.2
Guatemala,Guatemala,2013,6,Matemáticas,I,56.4
Guatemala,Guatemala,2013,6,Matemáticas,II,35
Guatemala,Guatemala,2013,6,Matemáticas,III,7.1
Guatemala,Guatemala,2013,6,Matemáticas,IV,1.6
Guatemala,Guatemala,2019,3,Lectura,I,60.7
Guatemala,Guatemala,2019,3,Lectura,II,16.1
Guatemala,Guatemala,2019,3,Lectura,III,15.8
Guatemala,Guatemala,2019,3,Lectura,IV,7.4
Guatemala,Guatemala,2019,3,Matemáticas,I,64.9
Guatemala,Guatemala,2019,3,Matemáticas,II,22.4
Guatemala,Guatemala,2019,3,Matemáticas,III,11.3
Guatemala,Guatemala,2019,3,Matemáticas,IV,1.4
Guatemala,Guatemala,2019,6,Ciencias,I,54.6
Guatemala,Guatemala,2019,6,Ciencias,II,35.6
Guatemala,Guatemala,2019,6,Ciencias,III,7.8
Guatemala,Guatemala,2019,6,Ciencias,IV,2
Guatemala,Guatemala,2019,6,Lectura,I,38.8
Guatemala,Guatemala,2019,6,Lectura,II,45.3
Guatemala,Guatemala,2019,6,Lectura,III,8.9
Guatemala,Guatemala,2019,6,Lectura,IV,7
Guatemala,Guatemala,2019,6,Matemáticas,I,66.2
Guatemala,Guatemala,2019,6,Matemáticas,II,27.1
Guatemala,Guatemala,2019,6,Matemáticas,III,5.8
Guatemala,Guatemala,2019,6,Matemáticas,IV,1
Honduras,Honduras,2013,3,Lectura,I,45.7
Honduras,Honduras,2013,3,Lectura,II,24.7
Honduras,Honduras,2013,3,Lectura,III,22.8
Honduras,Honduras,2013,3,Lectura,IV,6.8
Honduras,Honduras,2013,3,Matemáticas,I,55.7
Honduras,Honduras,2013,3,Matemáticas,II,24.6
Honduras,Honduras,2013,3,Matemáticas,III,15.5
Honduras,Honduras,2013,3,Matemáticas,IV,4.3
Honduras,Honduras,2013,6,Ciencias,I,50.1
Honduras,Honduras,2013,6,Ciencias,II,38.2
Honduras,Honduras,2013,6,Ciencias,III,9.7
Honduras,Honduras,2013,6,Ciencias,IV,2
Honduras,Honduras,2013,6,Lectura,I,25.2
Honduras,Honduras,2013,6,Lectura,II,59.1
Honduras,Honduras,2013,6,Lectura,III,11.2
Honduras,Honduras,2013,6,Lectura,IV,4.6
Honduras,Honduras,2013,6,Matemáticas,I,62.1
Honduras,Honduras,2013,6,Matemáticas,II,31.2
Honduras,Honduras,2013,6,Matemáticas,III,5.4
Honduras,Honduras,2013,6,Matemáticas,IV,1.3
Honduras,Honduras,2019,3,Lectura,I,52.7
Honduras,Honduras,2019,3,Lectura,II,19
Honduras,Honduras,2019,3,Lectura,III,19.3
Honduras,Honduras,2019,3,Lectura,IV,8.9
Honduras,Honduras,2019,3,Matemáticas,I,46.5
Honduras,Honduras,2019,3,Matemáticas,II,25.1
Honduras,Honduras,2019,3,Matemáticas,III,20.4
Honduras,Honduras,2019,3,Matemáticas,IV,8
Honduras,Honduras,2019,6,Ciencias,I,49.2
Honduras,Honduras,2019,6,Ciencias,II,39
Honduras,Honduras,2019,6,Ciencias,III,9.2
Honduras,Honduras,2019,6,Ciencias,IV,2.6
Honduras,Honduras,2019,6,Lectura,I,30.7
Honduras,Honduras,2019,6,Lectura,II,53.1
Honduras,Honduras,2019,6,Lectura,III,10.1
Honduras,Honduras,2019,6,Lectura,IV,6.1
Honduras,Honduras,2019,6,Matemáticas,I,54.5
Honduras,Honduras,2019,6,Matemáticas,II,34.3
Honduras,Honduras,2019,6,Matemáticas,III,8.8
Honduras,Honduras,2019,6,Matemáticas,IV,2.2
México,Mexico,2013,3,Lectura,I,33.1
México,Mexico,2013,3,Lectura,II,22.7
México,Mexico,2013,3,Lectura,III,28.3
México,Mexico,2013,3,Lectura,IV,16
México,Mexico,2013,3,Matemáticas,I,30.3
México,Mexico,2013,3,Matemáticas,II,25
México,Mexico,2013,3,Matemáticas,III,32.7
México,Mexico,2013,3,Matemáticas,IV,12
México,Mexico,2013,6,Ciencias,I,27
México,Mexico,2013,6,Ciencias,II,43.4
México,Mexico,2013,6,Ciencias,III,22.9
México,Mexico,2013,6,Ciencias,IV,6.7
México,Mexico,2013,6,Lectura,I,9.6
México,Mexico,2013,6,Lectura,II,48
México,Mexico,2013,6,Lectura,III,21.5
México,Mexico,2013,6,Lectura,IV,21
México,Mexico,2013,6,Matemáticas,I,23
México,Mexico,2013,6,Matemáticas,II,40.1
México,Mexico,2013,6,Matemáticas,III,23.2
México,Mexico,2013,6,Matemáticas,IV,13.7
México,Mexico,2019,3,Lectura,I,37.4
México,Mexico,2019,3,Lectura,II,19.8
México,Mexico,2019,3,Lectura,III,25.4
México,Mexico,2019,3,Lectura,IV,17.4
México,Mexico,2019,3,Matemáticas,I,34.7
México,Mexico,2019,3,Matemáticas,II,26.5
México,Mexico,2019,3,Matemáticas,III,29.9
México,Mexico,2019,3,Matemáticas,IV,8.9
México,Mexico,2019,6,Ciencias,I,25.7
México,Mexico,2019,6,Ciencias,II,46.7
México,Mexico,2019,6,Ciencias,III,22
México,Mexico,2019,6,Ciencias,IV,5.6
México,Mexico,2019,6,Lectura,I,15.2
México,Mexico,2019,6,Lectura,II,43.2
México,Mexico,2019,6,Lectura,III,18.9
México,Mexico,2019,6,Lectura,IV,22.8
México,Mexico,2019,6,Matemáticas,I,24.3
México,Mexico,2019,6,Matemáticas,II,37.7
México,Mexico,2019,6,Matemáticas,III,26.1
México,Mexico,2019,6,Matemáticas,IV,11.9
Nicaragua,Nicaragua,2013,3,Lectura,I,56.2
Nicaragua,Nicaragua,2013,3,Lectura,II,24.1
Nicaragua,Nicaragua,2013,3,Lectura,III,16.1
Nicaragua,Nicaragua,2013,3,Lectura,IV,3.7
Nicaragua,Nicaragua,2013,3,Matemáticas,I,68
Nicaragua,Nicaragua,2013,3,Matemáticas,II,20.1
Nicaragua,Nicaragua,2013,3,Matemáticas,III,9.9
Nicaragua,Nicaragua,2013,3,Matemáticas,IV,2
Nicaragua,Nicaragua,2013,6,Ciencias,I,49.6
Nicaragua,Nicaragua,2013,6,Ciencias,II,40.3
Nicaragua,Nicaragua,2013,6,Ciencias,III,8.5
Nicaragua,Nicaragua,2013,6,Ciencias,IV,1.6
Nicaragua,Nicaragua,2013,6,Lectura,I,25.6
Nicaragua,Nicaragua,2013,6,Lectura,II,59.8
Nicaragua,Nicaragua,2013,6,Lectura,III,10.4
Nicaragua,Nicaragua,2013,6,Lectura,IV,4.2
Nicaragua,Nicaragua,2013,6,Matemáticas,I,71
Nicaragua,Nicaragua,2013,6,Matemáticas,II,26.1
Nicaragua,Nicaragua,2013,6,Matemáticas,III,2.5
Nicaragua,Nicaragua,2013,6,Matemáticas,IV,0.4
Nicaragua,Nicaragua,2019,3,Lectura,I,63.9
Nicaragua,Nicaragua,2019,3,Lectura,II,18.9
Nicaragua,Nicaragua,2019,3,Lectura,III,13.8
Nicaragua,Nicaragua,2019,3,Lectura,IV,3.4
Nicaragua,Nicaragua,2019,3,Matemáticas,I,65.3
Nicaragua,Nicaragua,2019,3,Matemáticas,II,22.6
Nicaragua,Nicaragua,2019,3,Matemáticas,III,9.8
